Ratio_PSA,SMILES_PSA,Ratio_PI,SMILES_PI,fs
0.95,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.05,C#CC1=CC=CC(N2C(C(C=CC(OC3=CC=CC(C(N4C5=CC=C(OC6=CC(OC7=CC=C(N8C(C(C(OC9=CC=C(C(N(C%10=CC=CC(C#C)=C%10)C%11=O)=O)C%11=C9)=CC=C%12)=C%12C8=O)=O)C=C7)=CC=C6)C=C5)=O)=C3C4=O)=C%13)=C%13C2=O)=O)=C1,27.4
0.92,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.08,C#CC1=CC=CC(N2C(C(C=CC(OC3=CC=CC(C(N4C5=CC=C(OC6=CC(OC7=CC=C(N8C(C(C(OC9=CC=C(C(N(C%10=CC=CC(C#C)=C%10)C%11=O)=O)C%11=C9)=CC=C%12)=C%12C8=O)=O)C=C7)=CC=C6)C=C5)=O)=C3C4=O)=C%13)=C%13C2=O)=O)=C1,29.3
0.9,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.1,C#CC1=CC=CC(N2C(C(C=CC(OC3=CC=CC(C(N4C5=CC=C(OC6=CC(OC7=CC=C(N8C(C(C(OC9=CC=C(C(N(C%10=CC=CC(C#C)=C%10)C%11=O)=O)C%11=C9)=CC=C%12)=C%12C8=O)=O)C=C7)=CC=C6)C=C5)=O)=C3C4=O)=C%13)=C%13C2=O)=O)=C1,34.0
0.9,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.1,C#CC1=CC=CC(N2C(C(C=CC(OC3=CC=CC(C(N4C5=CC(OC6=CC(OC7=CC(N8C(C(C(OC9=CC=C(C(N(C%10=CC=CC(C#C)=C%10)C%11=O)=O)C%11=C9)=CC=C%12)=C%12C8=O)=O)=CC=C7)=CC=C6)=CC=C5)=O)=C3C4=O)=C%13)=C%13C2=O)=O)=C1,26.6
0.9,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.1,O=C1N(C2=CC=C(OC3=CC(OC4=CC=C(N5C(C(C=C(OC6=CC=C(C(C)(C)C7=CC=C(OC8=CC(C(N(C9=CC(C#C)=CC=C9)C%10=O)=O)=C%10C=C8)C=C7)C=C6)C=C%11)=C%11C5=O)=O)C=C4)=CC=C3)C=C2)C(C%12=C1C=C(OC%13=CC=C(C(C)(C)C%14=CC=C(OC%15=CC=C(C(N(C%16=CC=CC(C#C)=C%16)C%17=O)=O)C%17=C%15)C=C%14)C=C%13)C=C%12)=O,29.9
1.0,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.0,C#CC1=CC(N2C(C(C=CC=C3OC4=CC=C(C(N(C5=CC=C(OC6=CC=CC(N7C(C(C(OC8=CC=C(C(N(C9=CC=C(OC%10=CC=CC(N%11C(C(C(OC%12=CC=C(C(N(C%13=CC(C#C)=CC=C%13)C%14=O)=O)C%14=C%12)=CC=C%15)=C%15C%11=O)=O)=C%10)C=C9)C%16=O)=O)C%16=C8)=CC=C%17)=C%17C7=O)=O)=C6)C=C5)C%18=O)=O)C%18=C4)=C3C2=O)=O)=CC=C1,19.7
0.9,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.1,C#CC1=CC(N2C(C(C=CC=C3OC4=CC=C(C(N(C5=CC=C(OC6=CC=CC(N7C(C(C(OC8=CC=C(C(N(C9=CC=C(OC%10=CC=CC(N%11C(C(C(OC%12=CC=C(C(N(C%13=CC(C#C)=CC=C%13)C%14=O)=O)C%14=C%12)=CC=C%15)=C%15C%11=O)=O)=C%10)C=C9)C%16=O)=O)C%16=C8)=CC=C%17)=C%17C7=O)=O)=C6)C=C5)C%18=O)=O)C%18=C4)=C3C2=O)=O)=CC=C1,26.6
0.8,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.2,C#CC1=CC(N2C(C(C=CC=C3OC4=CC=C(C(N(C5=CC=C(OC6=CC=CC(N7C(C(C(OC8=CC=C(C(N(C9=CC=C(OC%10=CC=CC(N%11C(C(C(OC%12=CC=C(C(N(C%13=CC(C#C)=CC=C%13)C%14=O)=O)C%14=C%12)=CC=C%15)=C%15C%11=O)=O)=C%10)C=C9)C%16=O)=O)C%16=C8)=CC=C%17)=C%17C7=O)=O)=C6)C=C5)C%18=O)=O)C%18=C4)=C3C2=O)=O)=CC=C1,30.9
0.7,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.3,C#CC1=CC(N2C(C(C=CC=C3OC4=CC=C(C(N(C5=CC=C(OC6=CC=CC(N7C(C(C(OC8=CC=C(C(N(C9=CC=C(OC%10=CC=CC(N%11C(C(C(OC%12=CC=C(C(N(C%13=CC(C#C)=CC=C%13)C%14=O)=O)C%14=C%12)=CC=C%15)=C%15C%11=O)=O)=C%10)C=C9)C%16=O)=O)C%16=C8)=CC=C%17)=C%17C7=O)=O)=C6)C=C5)C%18=O)=O)C%18=C4)=C3C2=O)=O)=CC=C1,49.8
0.65,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.35,C#CC1=CC(N2C(C(C=CC=C3OC4=CC=C(C(N(C5=CC=C(OC6=CC=CC(N7C(C(C(OC8=CC=C(C(N(C9=CC=C(OC%10=CC=CC(N%11C(C(C(OC%12=CC=C(C(N(C%13=CC(C#C)=CC=C%13)C%14=O)=O)C%14=C%12)=CC=C%15)=C%15C%11=O)=O)=C%10)C=C9)C%16=O)=O)C%16=C8)=CC=C%17)=C%17C7=O)=O)=C6)C=C5)C%18=O)=O)C%18=C4)=C3C2=O)=O)=CC=C1,28.8
0.9,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.1,O=C1N(C2=CC=CC(C#C)=C2)C(C3=CC=C(OC4=CC=CC5=C4C(N(C6=CC=CC(C#C)=C6)C5=O)=O)C=C31)=O,26.8
0.9,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.1,C#CC1=CC(N2C(C(C=C(C(C3=CC(C(N(C4=CC(OC5=CC=CC(OC6=CC(N7C(C(C=CC(C(C8=CC(C(N(C9=CC=CC(C#C)=C9)C%10=O)=O)=C%10C=C8)=O)=C%11)=C%11C7=O)=O)=CC=C6)=C5)=CC=C4)C%12=O)=O)=C%12C=C3)=O)C=C%13)=C%13C2=O)=O)=CC=C1,29.1
0.9,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.1,O=C1N(C2=CC(OC3=CC=C(N4C(C(C=CC(OC5=CC=CC(C(N6C7=CC(C#C)=CC=C7)=O)=C5C6=O)=C8)=C8C4=O)=O)C=C3)=CC=C2)C(C9=CC=C(OC%10=CC=CC%11=C%10C(N(C%12=CC=CC(C#C)=C%12)C%11=O)=O)C=C91)=O,31.4
0.8,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.2,O=C1N(C2=CC(OC3=CC=C(N4C(C(C=CC(OC5=CC=CC(C(N6C7=CC(C#C)=CC=C7)=O)=C5C6=O)=C8)=C8C4=O)=O)C=C3)=CC=C2)C(C9=CC=C(OC%10=CC=CC%11=C%10C(N(C%12=CC=CC(C#C)=C%12)C%11=O)=O)C=C91)=O,35.8
0.7,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.3,O=C1N(C2=CC(OC3=CC=C(N4C(C(C=CC(OC5=CC=CC(C(N6C7=CC(C#C)=CC=C7)=O)=C5C6=O)=C8)=C8C4=O)=O)C=C3)=CC=C2)C(C9=CC=C(OC%10=CC=CC%11=C%10C(N(C%12=CC=CC(C#C)=C%12)C%11=O)=O)C=C91)=O,41.1
0.1,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.9,O=C1N(C2=CC(OC3=CC=C(N4C(C(C=CC(OC5=CC=CC(C(N6C7=CC(OC8=CC=C(N9C(C(C=CC(OC%10=CC=CC(C(N%11C%12=CC(C#C)=CC=C%12)=O)=C%10C%11=O)=C%13)=C%13C9=O)=O)C=C8)=CC=C7)=O)=C5C6=O)=C%14)=C%14C4=O)=O)C=C3)=CC=C2)C(C%15=CC=C(OC%16=CC=CC%17=C%16C(N(C%18=CC=CC(C#C)=C%18)C%17=O)=O)C=C%151)=O,26.6
0.2,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.8,O=C1N(C2=CC(OC3=CC=C(N4C(C(C=CC(OC5=CC=CC(C(N6C7=CC(OC8=CC=C(N9C(C(C=CC(OC%10=CC=CC(C(N%11C%12=CC(C#C)=CC=C%12)=O)=C%10C%11=O)=C%13)=C%13C9=O)=O)C=C8)=CC=C7)=O)=C5C6=O)=C%14)=C%14C4=O)=O)C=C3)=CC=C2)C(C%15=CC=C(OC%16=CC=CC%17=C%16C(N(C%18=CC=CC(C#C)=C%18)C%17=O)=O)C=C%151)=O,30.9
0.8,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.2,C#Cc1cccc(N2C(=O)c3ccc(-c4cccc5c4C(=O)N(c4ccc(Oc6cccc(N7C(=O)c8ccc(-c9cccc%10c9C(=O)N(c9cccc(C#C)c9)C%10=O)cc8C7=O)c6)cc4)C5=O)cc3C2=O)c1,38.1
0.7,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.3,C#Cc1cccc(N2C(c3ccc(c4c(C(N(c5ccc(Oc6cccc(N7C(c8ccc(c9c(C(N(c%10ccc(Oc%11cccc(N%12C(c%13ccc(c%14cccc%15c%14C(N(c%16cccc(C#C)c%16)C%15=O)=O)cc%13C%12=O)=O)c%11)cc%10)C%17=O)=O)c%17ccc9)cc8C7=O)=O)c6)cc5)C%18=O)=O)c%18ccc4)cc3C2=O)=O)c1,33.5
