,MATS3Z,EState_VSA3,JGI10,MATS7s,fs,fs_pre,split
16,-0.0079787342211098,8.901522386715193,0.0057908604838776,0.0150134906129142,30.9,30.346650016049978,train
12,-0.1124123537918967,2.825118736604502,0.0048741978236927,-0.0461860456924216,31.4,30.026514242048766,train
17,-0.0928860552103312,10.100998666566602,0.005057241999138,-0.0441843727962821,38.1,38.14214809913636,train
15,0.0070056937305228,10.014212685054591,0.0059262212437443,0.0238556297915178,26.6,28.468621583886343,train
9,-0.0754086600034568,5.885001240327144,0.005127821842061,-0.024895134011303,28.8,30.346650016049978,train
4,-0.1221925064844223,10.287059008153513,0.0048198305952316,-0.0391122144003793,29.9,29.97187164332364,train
6,-0.1128697298825384,1.6814289258077555,0.0048279308155489,-0.0469154831574535,26.6,27.64603048884115,train
14,-0.0815287457073478,8.475356209813505,0.0052066446611901,-0.0271108914454374,41.1,39.26654277870506,train
18,-0.0766878828225033,16.764715344882926,0.0052014393697142,-0.0400068076282568,33.5,32.79124820820271,train
1,-0.1168509891027757,3.639977829271739,0.0049133837090826,-0.0444566836466131,29.3,29.691631727030483,train
11,-0.114172634848261,2.26259266499618,0.0049092253542728,-0.0331035959818021,29.1,29.274871289564782,train
0,-0.120977177377049,2.274986143294837,0.0048363552200306,-0.0486817858351008,27.4,27.89073465777399,train
13,-0.0969705497496222,5.650237473209004,0.0050404212424414,-0.0366484685689295,35.8,35.91194844410038,train
2,-0.1141001969199269,4.549972286589674,0.0049647360351172,-0.041639948854288,34.0,30.33025560195221,train
8,-0.0829008739792731,5.044286777423266,0.0050678436367585,-0.0292992038405331,49.8,43.067962122292734,train
10,-0.1111071667408606,2.250167553276112,0.0049429926975381,-0.0440051785035637,26.8,27.64603048884115,test
5,-0.1278541578341711,0.0,0.0047079744049441,-0.0557236228159137,19.7,21.678597016857744,test
3,-0.1141001969199269,3.4000699199328928,0.0048360892584951,-0.0513060024584509,26.6,27.394635311210127,test
7,-0.0978853019309058,3.362857851615511,0.0049478872261537,-0.0381073434989933,30.9,31.510151427033588,test
