smiles,sp_d
Clc1ccccc1Cl,19.2
COc1ccccc1O,18.0
Cc1ccc(C)cc1,17.6
c1ccc(-c2ccccc2)cc1,21.5
CCSCC,16.8
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,16.6
c1ccc2nc3ccccc3cc2c1,19.6
Oc1ccc(Cl)cc1Cl,21.3
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,18.2
CCCCCCC(C)O,16.2
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,14.5
OCc1ccco1,17.4
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,19.0
CC1CCCCC1,16.0
Oc1ccccc1O,20.0
ClC(Cl)(Cl)Cl,17.8
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,19.5
CCCCCCOC(=O)c1cccnc1,16.6
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,19.0
Nc1ccc(Cl)c(N)c1,19.0
OCCCCl,17.5
CC(=O)CC(C)(C)O,15.8
CC(O)C(C)O,15.7
CCCCOCCOCCOC(C)=O,16.0
COCCO,16.2
CCO,15.8
CC(C)(Cl)OC(C)(C)Cl,19.0
BrC(Br)Br,16.6
O=[N+]([O-])c1ccccc1Cl,19.6
COC(C)(C)CC(C)=O,15.3
CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,18.4
COC(=O)c1ccc(O)cc1,18.2
O=C(OCc1ccccc1)c1cccnc1,18.3
CCCCC(C)=O,15.3
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,17.7
CCCCOP(=O)(OCCCC)OCCCC,16.4
CCC#N,15.3
COc1c2occc2cc2ccc(=O)oc12,21.9
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,15.6
NCCO,17.0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,18.6
N#Cc1ccccc1,17.4
C=CC(=O)OCC,15.5
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,18.6
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,14.3
O=[N+]([O-])c1ccc(O)cc1,19.9
Cc1cnc(NC(O)=C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,19.2
OCCc1ccccc1,18.2
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,19.0
O=C(O)c1ccccc1,17.63
Oc1ccc2ccccc2c1,19.7
CN(C)C(=O)N(C)C,16.7
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,18.4
NCCN,16.6
CC(C)CCO,15.3
CCOS(=O)(=O)OCC,15.8
CCCCCCCCCCO,16.0
ClCBr,17.4
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,16.8
Cc1ccccc1O,18.2
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,16.4
C1COCCO1,19.0
CC(C)CC(O)CC(C)C,14.9
NCCNCCN,16.7
Clc1ccccc1,19.0
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,18.0
CC[N+](=O)[O-],16.0
CCCCC(CC)CO,15.9
CCCCCCO,15.8
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,21.9
CC=O,14.7
c1ccccc1,18.4
ClC1CCCCC1,17.3
COCC(C)OCC(C)OCC(C)O,15.3
CCC(=O)O,14.7
O=C1OCCO1,19.4
ClCC1CO1,18.9
CC(C)CC(C)O,15.4
c1ccc(CCc2ccccc2)cc1,18.6
C1CC[C@H]2CCCC[C@H]2C1,18.8
c1ccoc1,17.8
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,15.9
O=C1CCCO1,19.0
C=C(C)C(=O)OC,15.8
Cc1ccccc1C,17.8
COC(=O)c1ccccc1O,16.0
OCC(O)CO,17.4
BrC(Br)C(Br)Br,22.7
CCN(CC)C(=O)N1CCN(C)CC1,16.4
CCc1ccc(CC)cc1,18.0
CCCCCC,14.9
c1ccncc1,19.0
FC(F)(F)Br,9.6
C=CC(=O)OCCCC,15.6
BrCCBr,19.6
CCCCO,16.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,19.4
Clc1ccc(-c2ccccc2)c(Cl)c1Cl,19.2
CCCC,14.1
CCOCCOC(C)=O,15.9
FC(F)(F)C1(C(F)(F)F)CCCCC1,12.5
Cc1ccc(C(C)C)c(O)c1,16.5
CN(C)CCO,16.1
Oc1cccc(Cl)c1,19.3
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,19.200000000000003
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCO,13.3
C=C(C)C(=O)OCC1CO1,16.3
C=C(C)C(=O)OCCCCCCCCCCCC,14.4
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,20.72
Nc1ccc(C(=O)O)cc1,17.3
CC(C)=O,15.5
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,18.3
Cc1cccc(O)c1,18.0
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,18.4
Cc1cc(Cl)ccc1O,20.3
NC1CCCCC1,17.2
CC(C)(C)OCCOC(C)(C)C,14.7
CCC1(CC)C(=O)NC(=O)NC1=O,16.7
