smiles,sp_h
NC(=O)c1cccnc1,13.1
CN1CCCC1c1cccnc1,10.7
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,12.4
CCCC=O,7.0
O,42.4
Cc1ccccc1,0.0
c1ccc2c(c1)CCCC2,2.9
O=C(O)c1ccc(O)cc1,13.8
CC(C)[N+](=O)[O-],4.1
OCCCCCCO,17.8
Nc1ccccc1Cl,9.2
Brc1cccc2ccccc12,4.1
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,8.2
c1ccc(Oc2cccc(Oc3cccc(Oc4ccccc4)c3)c2)cc1,5.1
Nc1ccc(Cl)c(N)c1,12.7
Oc1ccc2ccccc2c1,12.3
C=CC(=O)OCCO,13.4
CCC#N,5.5
CCOC(=O)Cl,6.8
FC(F)(Cl)C(F)(Cl)Cl,0.0
CC(=O)CC(C)C,4.1
O=Cc1ccccc1,6.7
O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,5.1
N#CCCO,17.6
CCOCCOC(C)=O,10.6
CC(C)COC(=O)C(C)C,5.9
CC(C)CCO,13.5
C=C(C)C(=O)OCCCCCCCCCCCC,5.1
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCO,8.4
CCCCCCCCCC,0.0
O=[N+]([O-])c1ccc(O)cc1,14.7
CN1CCCC1=O,8.5
CCC(C)=O,4.7
CCCCOCC(O)COCC,10.2
Cc1ccc(O)cc1C,12.9
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,19.0
CCOCC,5.5
FC(F)(Cl)Cl,0.0
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,6.8
c1ccncc1,5.9
N#CCc1ccccc1,3.8
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,8.2
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,10.8
CCOCCOCCO,12.2
COc1ccccc1,5.1
CCOC(=O)c1cccnc1,8.6
Cc1ccc(O)cc1,13.9
CC(=O)OC(C)=O,10.2
OC(C(F)(F)F)C(F)(F)F,14.7
Nc1ccc(N)cc1,13.4
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,10.5
CCc1ccc(CC)cc1,0.6
CNC(C)C(O)c1ccccc1,11.9
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,7.8
CCCCCCO,12.6
CCCCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,8.6
