ATS4pe,AATS3Z,AATS3se,AATSC0s,BCUTd-1l,BCUTse-1h,AETA_eta_L,IC1,BIC1,PEOE_VSA3,MID_N,SLogP,TopoPSA,MaxPartialCharge,fr_lactone,sp_p
924.8248,20.0,8.585300444,3.570150892,0.987200255,3.694993153,0.319405057,2.512789621,0.454921958,0.0,0.0,-5.3972,189.53,0.186732304,0,28.7
853.3326,13.48905109,7.411824993,0.765258495,0.977701123,3.701935195,0.268481241,2.892975182,0.485871649,0.0,4.481186384,4.1367,23.55,0.226459264,0,4.5
0.0,560.1111111,9.0601,0.016482339,0.98658139,3.278920395,0.684094917,1.5,0.534310781,0.0,0.0,3.2182,0.0,0.091979405,0,51.0
470.6375,12.21333333,8.002807413,1.077932099,0.987139761,3.68195172,0.33981292,2.079419005,0.405401495,0.0,0.0,0.8238,47.92,0.078142182,0,5.5
469.0565,8.226666667,7.24298432,0.86,0.987131948,3.667527027,0.423817493,1.816536504,0.373928285,0.0,0.0,2.4395,20.23,0.054471811,0,3.1
441.2114,16.55555556,8.35610819,4.259040105,0.987143264,3.676507097,0.316827799,2.199687795,0.473676984,0.0,0.0,-3.5854,121.38,0.110578607,0,10.7
0.0,136.1111111,10.11664044,0.021900244,0.98658139,3.514842741,0.366966691,1.5,0.534310781,0.0,0.0,2.5938,0.0,0.137343613,0,5.1
14.52,3.166666667,7.439904,2.395061728,0.977336307,3.667352785,0.351364184,1.879964949,0.626654983,0.0,0.0,-0.0014,20.23,0.040220582,0,8.8
191.652,8.866666667,7.452082267,1.396193772,0.987214277,3.667337917,0.29613901,2.015740432,0.503935108,0.0,1.955705271,-0.4597,23.47,0.055773521,0,9.2
1799.3026,15.32773109,7.603571933,2.532561702,0.972363718,3.718569342,0.353317647,3.068623894,0.480048735,0.0,0.0,3.3676,138.2,0.305720291,0,3.5
131.9976,12.18518519,8.185386667,4.03968254,0.9872569,3.671941121,0.312624295,2.155968102,0.582624841,0.0,0.0,-1.6681,60.69,0.100047026,0,12.1
459.435,7.746031746,7.100506222,0.153856427,0.987175621,2.977631346,0.427062777,1.36704393,0.294376887,0.0,0.0,3.0786,0.0,-0.038018218,0,0.0
140.0425,4.888888889,6.919365556,0.119377163,0.9872569,2.927160141,0.482842712,1.159554752,0.289888688,0.0,0.0,2.1965,0.0,-0.053831315,0,0.0
254.174,6.98245614,7.125316281,0.432986111,0.993923622,3.222335445,0.449469854,1.738758681,0.402310877,0.0,1.745348264,1.2778,26.02,0.003877844,0,3.1
