Ratio_PSA,SMILES_PSA,Ratio_PI,SMILES_PI,Td5
1.0,C#CCOc1cccc(OCC#C[Si](C)(C)C#CCOc2cccc(OCC#C)c2)c1,0.0,C#CCOc1cccc(OCC#C[Si](C)(C)C#CCOc2cccc(OCC#C)c2)c1,438.0
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(N9C(=O)c%10ccc(C#Cc%11ccccc%11)cc%10C9=O)cc8)cc6)C7=O)cc5)cc4C3=O)cc2)cc1,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(N9C(=O)c%10ccc(C#Cc%11ccccc%11)cc%10C9=O)cc8)cc6)C7=O)cc5)cc4C3=O)cc2)cc1,540.0
1.0,C6=CC(C#C)=CC(N5COC4=CC=C(C(C1=CC3=C(C=C1)OCN(C2=CC=CC(C#C)=C2)C3)(C)C)C=C4C5)=C6,0.0,C6=CC(C#C)=CC(N5COC4=CC=C(C(C1=CC3=C(C=C1)OCN(C2=CC=CC(C#C)=C2)C3)(C)C)C=C4C5)=C6,365.0
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5ccc(Oc6cccc7c6C(=O)N(c6ccc(Oc8ccc(N9C(=O)c%10ccc(C#Cc%11ccccc%11)cc%10C9=O)cc8)cc6)C7=O)cc5)c4C3=O)cc2)cc1,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5ccc(Oc6cccc7c6C(=O)N(c6ccc(Oc8ccc(N9C(=O)c%10ccc(C#Cc%11ccccc%11)cc%10C9=O)cc8)cc6)C7=O)cc5)c4C3=O)cc2)cc1,521.0
1.0,C#Cc1cccc(N2COc3ccc(C(C)(C)c4ccc5c(c4)CN(c4cccc(C#C)c4)CO5)cc3C2)c1,0.0,C#Cc1cccc(N2COc3ccc(C(C)(C)c4ccc5c(c4)CN(c4cccc(C#C)c4)CO5)cc3C2)c1,458.0
1.0,C#Cc1cccc(C#C[Si](C)(C)C#Cc2cccc(C#C)c2)c1,0.0,C#Cc1cccc(C#C[Si](C)(C)C#Cc2cccc(C#C)c2)c1,612.0
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2cccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(Oc7cccc(N8C(=O)c9ccc(C#Cc%10ccccc%10)cc9C8=O)c7)cc5)C6=O)cc4C3=O)c2)cc1,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2cccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(Oc7cccc(N8C(=O)c9ccc(C#Cc%10ccccc%10)cc9C8=O)c7)cc5)C6=O)cc4C3=O)c2)cc1,493.0
1.0,C#CC1=CC=CC(C#C[SiH](C#CC2=CC(C#C)=CC=C2)C3=CC=CC=C3)=C1,0.0,C#CC1=CC=CC(C#C[SiH](C#CC2=CC(C#C)=CC=C2)C3=CC=CC=C3)=C1,755.0
1.0,O=C1c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8cccc9c(C#Cc%10ccccc%10)ccc(c89)C7=O)cc6C(F)(F)F)cc5-c5cccc(C(F)(F)F)c5)c(C(F)(F)F)c3)C4=O)cc2C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc6c(C#Cc7ccccc7)ccc(c56)C4=O)cc3C(F)(F)F)c(-c3cccc(C(F)(F)F)c3)c2)c(C(F)(F)F)c1,0.0,O=C1c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8cccc9c(C#Cc%10ccccc%10)ccc(c89)C7=O)cc6C(F)(F)F)cc5-c5cccc(C(F)(F)F)c5)c(C(F)(F)F)c3)C4=O)cc2C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc6c(C#Cc7ccccc7)ccc(c56)C4=O)cc3C(F)(F)F)c(-c3cccc(C(F)(F)F)c3)c2)c(C(F)(F)F)c1,576.0
1.0,O=C1c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8cccc9c(C#Cc%10ccccc%10)ccc(c89)C7=O)cc6)cc5-c5ccccc5)cc3)C4=O)cc2C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc6c(C#Cc7ccccc7)ccc(c56)C4=O)cc3)cc2-c2ccccc2)cc1,0.0,O=C1c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8cccc9c(C#Cc%10ccccc%10)ccc(c89)C7=O)cc6)cc5-c5ccccc5)cc3)C4=O)cc2C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc6c(C#Cc7ccccc7)ccc(c56)C4=O)cc3)cc2-c2ccccc2)cc1,548.0
