id,viscosity110/mPa*s,log_110
6F-134APB(10)4H,1320.773361,7.185972724
6F-144APB(10)4H,1411.340369,7.252295148
6F-TFAPB(10)4H,805.628422,6.691622621
6F-TFDB(10)4H,1241.516501,7.124088896
6F-TFODA(10)4H,1055.747679,6.962004495
A-133APB(10)4H,909.4401086,6.812829145
A-134APB(10)4H,882.1950589,6.782413187
A-144APB(10)4H,831.1968225,6.722866617
A-34ODA(10)4H,1308.779187,7.176850064
A-44ODA(10)4H,836.4890421,6.729213421
A-6FBAPP(10)4H,1102.646687,7.005468648
A-BAPP(10)4H,1146.448833,7.044424472
A-DDM(10)4H,1107.396916,7.00976742
A-DMDDM(10)4H,1193.370549,7.084536977
A-TFAPB(10)4H,1042.320236,6.949204503
A-TFDB(10)4H,1134.170625,7.033656936
A-TFODA(10)4H,1016.220843,6.92384597
O-133APB(10)4H,851.6572896,6.747184204
O-134APB(10)4H,754.5771024,6.626157463
O-144APB(10)4H,903.0116555,6.805735461
O-34ODA(10)4H,1105.990593,7.008496677
O-44ODA(10)4H,1077.68033,6.982566168
O-6FBAPP(10)4H,1152.319195,7.049531882
O-BAPP(10)4H,922.4445361,6.827027251
O-DDM(10)4H,936.5435103,6.842195981
O-DMDDM(10)4H,1260.161557,7.138995211
O-SiA(10)4H,924.3936304,6.829137988
O-TFDB(10)4H,995.3669099,6.903111423
